"Category","Tag","Rank","Page","Wall_ID","Fans","PTA"
"brands","travel","248","Gîtes de France","109421875784891","79986","810"
"brands","travel","249","Công Ty Du Lịch Tuổi Trẻ Tour","208885675899222","79873","93"
"brands","travel","250","Visit Salta","161302450573967","79157","13907"
"brands","travel","251","Falk Lauritsen","114886660783","79083","1464"
"brands","travel","252","Design Hotels","58419831276","78977","3030"
"brands","travel","253","TravelBird","201848566509427","78389","4977"
"brands","travel","254","Royal Caribbean Italia","210699795608345","77640","1401"
"brands","travel","255","VisitGuatemala","315106075454","77464","8414"
"brands","travel","256","Transamérica Hospitality Group","285403314820316","77294","4715"
"brands","travel","257","Fans de Bretagne","107802905918582","77293","17558"
"brands","travel","258","Visit Greece","10150127723605641","77088","15120"
"brands","travel","259","Turismo do Alentejo","247568788922","76898","3299"
"brands","travel","260","Turistazo","140841719321547","76487","8220"
"brands","travel","261","Tjäreborg","61721892557","76411","3119"
"brands","travel","262","Egipt - tu wszystko się zaczyna","223903160959983","76330","45"
"brands","travel","263","Fiesta Americana","195605070151","75814","4950"
"brands","travel","264","Spies Rejser","65873757126","75693","574"
"brands","travel","265","Air Caraibes","96837677086","74417","1373"
"brands","travel","266","Irlande... Laissez-vous emporter","135572193356","73699","11138"
"brands","travel","267","Restplass","131434906932424","73596","1701"
"brands","travel","268","Pestana Hotels and Resorts","24250219859","73581","3413"
"brands","travel","269","Trysil","33067392093","73159","1806"
"brands","travel","270","Northern Territory - Australia's…","112559295446656","72629","4050"
"brands","travel","271","Novaturas - tik ypatingi pasiūlymai","95159826754","72162","2639"
"brands","travel","272","Polani Travels","185709978146607","71208","3331"
"brands","travel","273","Catalunya Experience","62428887813","71208","4549"
"brands","travel","274","Best Western Italia","197769961025","70701","239"
"brands","travel","275","קווי לילה","123874957648550","69098","341"
"brands","travel","276","Destinia.com","36321382041","68502","1567"
"brands","travel","277","Mundi","75412703710","67878","1684"
"brands","travel","278","Jetwing Hotels","105101009523612","67345","860"
"brands","travel","279","Visit Trentino","127472887265378","66974","12305"
"brands","travel","280","Premier Inn","113598698670376","66937","949"
"brands","travel","281","Cook Islands","59641054277","65884","4629"
"brands","travel","282","AVIOKARTE.HR","223565703788","65570","2544"
"brands","travel","283","eDestinos.com.br","145484545514596","65300","2210"
"brands","travel","284","SunnyRentals.com","137495880254","65065","98"
"brands","travel","285","Hotel Centre Point Silom","235331949849655","65004","2710"
"brands","travel","286","Hyatt Place","167825799947596","64631","310"
"brands","travel","287","kurz-mal-weg.at","192721549874","64271","4401"
"brands","travel","288","Buenas Vibras Viajes","39405394780","64263","2211"
"brands","travel","289","LateRooms.com","33277352768","64263","4341"
"brands","travel","290","Skyscanner Philippines","125909300853111","63879","3004"
"brands","travel","291","La Quinta Inns &amp; Suites","96392828964","63788","911"
"brands","travel","292","Campos do Jordão","108204652584452","63576","5176"
"brands","travel","293","Egali Intercâmbio","147072542005090","62909","5640"
"brands","travel","294","Butlins","278623185280","62885","1552"
"brands","travel","295","Visit Oslo","21107936265","62741","6918"
"brands","travel","296","Eurostar","160113975837","62441","1516"
"brands","travel","297","Grande Hotel Senac","165544403458427","62324","3650"
"brands","travel","298","de Dios Editores","128490230512809","62230","8248"
"brands","travel","299","Luxury NZ Indonesia","304314089642825","61908","855"
"brands","travel","300","Atrápalo Brasil","350697754960","61839","4848"
"brands","travel","301","Буковель","169716793065535","61756","4012"
"brands","travel","302","Queenstown NZ","175465665824008","61747","7696"
"brands","travel","303","Ruf","54205506350","61584","937"
"brands","travel","304","Villas del Sol y Mar Hotel Boutique","195002843879352","61337","1988"
"brands","travel","305","Kamil Koç","209176033988","61136","1549"
"brands","travel","306","STA Travel US","6654472378","60608","169"
"brands","travel","307","Royal Caribbean México","115813568492270","59804","2122"
"brands","travel","308","Estravel","156208289469","59621","259"
"brands","travel","309","Landal GreenParks Nederland","162901220400439","59610","10847"
"brands","travel","310","Tallink Suomi","88831650993","59402","259"
"brands","travel","311","Expedia.co.nz","119185861499222","58037","934"
"brands","travel","312","Festa do Peão de Barretos","198523360178889","57722","7766"
"brands","travel","313","Tropical Tours","49588385233","57118","319"
"brands","travel","314","Icelandair","31942741556","56707","3485"
"brands","travel","315","Côte d'Azur Tourisme","107143874529","56006","7371"
"brands","travel","316","Ierland","109790325751358","55859","2179"
"brands","travel","317","TriptanZä","186692464716901","55614","2254"
"brands","travel","318","Holiday Inn","183346026001","55582","447"
"brands","travel","319","Dreamtours.pl","116700225014535","55477","234"
"brands","travel","320","Visit Bosnia","317683101919","55122","822"
"brands","travel","321","Xplor","248625778807","55120","17546"
"brands","travel","322","THE YACHT WEEK","77619914515","55119","2492"
"brands","travel","323","GOGO","49718020339","55077","1998"
"brands","travel","324","La Martinique, Fleur des Caraïbes","13968306412","54672","4732"
"brands","travel","325","Traders Hotel Manila","54655928881","54603","156"
"brands","travel","326","Melia Caribe Tropical","123115561069492","54506","140"
"brands","travel","327","Paravion.ro","108609628523","54140","11166"
"brands","travel","328","Thomas Cook Belgium","119291951417097","54050","1706"
"brands","travel","329","Center Parcs UK","150505034974246","54039","1280"
"brands","travel","330","FranceGuide","144282132273340","54004","2412"
"brands","travel","331","Royal Caribbean Latinoamérica y el…","140902829295644","53554","388"
"brands","travel","332","InterCity Hotéis Inteligentes","254861851207152","53444","273"
"brands","travel","333","Apollo Norge","119066326281","52982","454"
"brands","travel","334","B&amp;B Hôtels France","206934722690495","52973","516"
"brands","travel","335","Geziko","291281507557617","52530","5165"
"brands","travel","336","Gardicanin","21805357479","52249","1872"
"brands","travel","337","Polin Waterparks and Pool Systems","129738593742203","52149","2285"
"brands","travel","338","Absolutely Positively Wellington","118984448122341","52046","1568"
"brands","travel","339","Tropical North Queensland","100535466706336","51941","68"
"brands","travel","340","ZUJI Hong Kong","58400616902","51913","2347"
"brands","travel","341","Planai - Schladming","55338249285","51802","2104"
"brands","travel","342","vacenza.com","224490204313876","51664","415"
"brands","travel","343","JIBA","68428815762","51096","1220"
"brands","travel","344","Tsogo Sun","130105057816","51094","1113"
"brands","travel","345","Sri Lanka Tailormade","114929725213239","50547","1206"
"brands","travel","346","transavia.com nederland","60337830059","50237","492"
"brands","travel","347","LUX* Island Resorts","297172133636386","50196","1184"
"brands","travel","348","Last Minute","130180043695559","50074","197"
"brands","travel","349","Skyscanner España","110464308883","49824","3064"
"brands","travel","350","SBB CFF FFS","337598289644120","49457","1721"
"brands","travel","351","Heathrow Airport","135602823147553","49028","5852"
"brands","travel","352","Lealkudtuk","121502737930236","48932","318"
"brands","travel","353","Neckermann Reizen Nederland","129295947128490","48807","2961"
"brands","travel","354","KILROY Norway","243811331258","48689","2822"
"brands","travel","355","Stena Line Norge","291695272133","48673","1759"
"brands","travel","356","Sierra Nevada","227068862208","48615","3513"
